WRIST_LX,WRIST_LY,WRIST_LZ,THUMB_CMC_LX,THUMB_CMC_LY,THUMB_CMC_LZ,THUMB_MCP_LX,THUMB_MCP_LY,THUMB_MCP_LZ,THUMB_IP_LX,THUMB_IP_LY,THUMB_IP_LZ,THUMB_TIP_LX,THUMB_TIP_LY,THUMB_TIP_LZ,INDEX_FINGER_MCP_LX,INDEX_FINGER_MCP_LY,INDEX_FINGER_MCP_LZ,INDEX_FINGER_PIP_LX,INDEX_FINGER_PIP_LY,INDEX_FINGER_PIP_LZ,INDEX_FINGER_DIP_LX,INDEX_FINGER_DIP_LY,INDEX_FINGER_DIP_LZ,INDEX_FINGER_TIP_LX,INDEX_FINGER_TIP_LY,INDEX_FINGER_TIP_LZ,MIDDLE_FINGER_MCP_LX,MIDDLE_FINGER_MCP_LY,MIDDLE_FINGER_MCP_LZ,MIDDLE_FINGER_PIP_LX,MIDDLE_FINGER_PIP_LY,MIDDLE_FINGER_PIP_LZ,MIDDLE_FINGER_DIP_LX,MIDDLE_FINGER_DIP_LY,MIDDLE_FINGER_DIP_LZ,MIDDLE_FINGER_TIP_LX,MIDDLE_FINGER_TIP_LY,MIDDLE_FINGER_TIP_LZ,RING_FINGER_MCP_LX,RING_FINGER_MCP_LY,RING_FINGER_MCP_LZ,RING_FINGER_PIP_LX,RING_FINGER_PIP_LY,RING_FINGER_PIP_LZ,RING_FINGER_DIP_LX,RING_FINGER_DIP_LY,RING_FINGER_DIP_LZ,RING_FINGER_TIP_LX,RING_FINGER_TIP_LY,RING_FINGER_TIP_LZ,PINKY_MCP_LX,PINKY_MCP_LY,PINKY_MCP_LZ,PINKY_PIP_LX,PINKY_PIP_LY,PINKY_PIP_LZ,PINKY_DIP_LX,PINKY_DIP_LY,PINKY_DIP_LZ,PINKY_TIP_LX,PINKY_TIP_LY,PINKY_TIP_LZ,WRIST_RX,WRIST_RY,WRIST_RZ,THUMB_CMC_RX,THUMB_CMC_RY,THUMB_CMC_RZ,THUMB_MCP_RX,THUMB_MCP_RY,THUMB_MCP_RZ,THUMB_IP_RX,THUMB_IP_RY,THUMB_IP_RZ,THUMB_TIP_RX,THUMB_TIP_RY,THUMB_TIP_RZ,INDEX_FINGER_MCP_RX,INDEX_FINGER_MCP_RY,INDEX_FINGER_MCP_RZ,INDEX_FINGER_PIP_RX,INDEX_FINGER_PIP_RY,INDEX_FINGER_PIP_RZ,INDEX_FINGER_DIP_RX,INDEX_FINGER_DIP_RY,INDEX_FINGER_DIP_RZ,INDEX_FINGER_TIP_RX,INDEX_FINGER_TIP_RY,INDEX_FINGER_TIP_RZ,MIDDLE_FINGER_MCP_RX,MIDDLE_FINGER_MCP_RY,MIDDLE_FINGER_MCP_RZ,MIDDLE_FINGER_PIP_RX,MIDDLE_FINGER_PIP_RY,MIDDLE_FINGER_PIP_RZ,MIDDLE_FINGER_DIP_RX,MIDDLE_FINGER_DIP_RY,MIDDLE_FINGER_DIP_RZ,MIDDLE_FINGER_TIP_RX,MIDDLE_FINGER_TIP_RY,MIDDLE_FINGER_TIP_RZ,RING_FINGER_MCP_RX,RING_FINGER_MCP_RY,RING_FINGER_MCP_RZ,RING_FINGER_PIP_RX,RING_FINGER_PIP_RY,RING_FINGER_PIP_RZ,RING_FINGER_DIP_RX,RING_FINGER_DIP_RY,RING_FINGER_DIP_RZ,RING_FINGER_TIP_RX,RING_FINGER_TIP_RY,RING_FINGER_TIP_RZ,PINKY_MCP_RX,PINKY_MCP_RY,PINKY_MCP_RZ,PINKY_PIP_RX,PINKY_PIP_RY,PINKY_PIP_RZ,PINKY_DIP_RX,PINKY_DIP_RY,PINKY_DIP_RZ,PINKY_TIP_RX,PINKY_TIP_RY,PINKY_TIP_RZ
418.4590149,535.7627106,1.4e-07,453.3758926,512.9345369,-0.008710354,471.2357712,478.2171392,-0.013195714,484.2635727,450.1560831,-0.016279072,500.9642029,433.8245201,-0.01930459,433.2077789,451.280036,-0.013182105,431.801033,416.760993,-0.017997289,432.9202652,396.6120243,-0.021022426,435.2410126,383.6033106,-0.023406575,406.1563873,455.2779865,-0.012354298,392.3841858,419.26682,-0.016807452,386.7424774,396.2002087,-0.019953914,383.762207,379.7910547,-0.022744937,386.0064697,465.0653458,-0.011997469,373.6740875,429.6826315,-0.017557848,369.0177155,407.1147823,-0.022499818,366.9258881,389.617424,-0.026212487,373.3232117,477.0709562,-0.012011889,354.1699219,453.4911203,-0.019178536,341.9728851,436.6934109,-0.023967609,332.9176712,421.9853783,-0.026898481,949.8902893,513.6217403,1.72e-07,915.6954193,490.6427622,-0.01125888,896.2121582,459.049387,-0.017484216,882.7965546,431.4960623,-0.021890128,865.9644318,414.1785622,-0.026236778,941.5000153,426.4776278,-0.013113059,940.1700592,389.4130611,-0.019371541,938.0471802,365.7396698,-0.024593031,936.3682556,346.9186306,-0.028424701,965.3684998,429.4057417,-0.012132376,976.9674683,391.227951,-0.01612795,982.8077698,366.5910244,-0.019859325,988.6508942,347.4175858,-0.02308399,982.3849487,438.7662649,-0.0122209,996.036911,405.1990414,-0.017595943,1002.653885,383.0948496,-0.021963492,1008.210907,364.8003817,-0.025293525,993.5484314,451.9378424,-0.013119396,1011.393738,433.3370876,-0.018718926,1021.475677,420.8999634,-0.021201424,1030.27832,409.5307016,-0.022785366
400.321846,536.0812283,1.28e-07,435.5636978,514.2477894,-0.00890752,454.4165802,479.3570995,-0.013365343,466.0225296,450.8323431,-0.016303113,483.0418015,435.2883196,-0.019212926,418.7610245,447.0378113,-0.013553556,419.1906738,408.8614368,-0.018993486,419.5943832,387.5331974,-0.022346269,421.4560318,376.2562037,-0.024491876,390.9130478,449.4697809,-0.012312644,382.3094177,410.6838369,-0.01645937,383.200531,390.3523493,-0.018744765,387.1946716,379.3556786,-0.020637831,369.7196579,458.0357265,-0.011578403,361.7746353,420.6128168,-0.016221836,362.3540878,400.1401377,-0.019456694,366.3672638,386.8792963,-0.02204553,355.4588318,469.9380398,-0.01131049,338.096962,443.7207127,-0.017077295,328.5709,426.6470575,-0.020213952,322.5963593,413.1003141,-0.022006189,950.0553894,513.650279,1.69e-07,916.2471771,491.0937595,-0.011074779,896.4678955,459.9175215,-0.017352724,883.3439636,432.1234846,-0.021879936,866.0237885,415.3490782,-0.026347717,941.7263794,427.0254421,-0.013095822,939.6439362,390.1990557,-0.019577717,937.4768066,366.6755676,-0.024858247,935.6047058,347.8520179,-0.028656472,965.8157349,430.1699352,-0.012281132,978.9657593,391.4825249,-0.01658798,985.4833221,366.7905378,-0.020451739,991.6029358,347.2679186,-0.023658996,982.5614929,439.4721794,-0.012503415,996.3591003,406.2599945,-0.018320348,1003.197708,383.9362907,-0.02280036,1008.791428,365.401969,-0.026011774,993.480835,452.3733902,-0.013483874,1011.340179,433.3208227,-0.0191424,1021.532364,421.0325289,-0.021393366,1030.134735,409.8814487,-0.022750918
388.1402588,535.0940037,1.48e-07,424.4973755,513.1506157,-0.006956361,443.8370895,478.0811834,-0.0108313,453.1051254,449.6525145,-0.013479103,469.4480133,434.3003654,-0.016130915,406.2133789,446.8571377,-0.010914356,407.890892,409.0586758,-0.015601728,408.9205933,386.7110682,-0.018514851,410.9714127,372.6735449,-0.020475091,379.5593262,447.8437185,-0.010427754,376.3369751,406.1098766,-0.013983021,380.4291916,384.6711302,-0.015581597,386.812973,372.0652628,-0.016583825,359.1034698,454.8694754,-0.010172022,351.6182709,415.5196667,-0.013941925,354.2880249,394.822197,-0.015451999,360.7814789,381.1970901,-0.016558837,344.5236969,465.713625,-0.010292752,328.2430649,439.9104309,-0.014475114,322.6227188,423.4924793,-0.015507489,321.241684,410.6961966,-0.015634116,950.6718445,512.5516462,1.75e-07,915.8190918,490.7065344,-0.011447007,895.9596252,460.0610304,-0.017840778,883.4002686,432.4486113,-0.022357712,866.5439606,415.2208042,-0.026809884,941.7499542,426.9579792,-0.013576499,939.6753693,389.7520065,-0.019863391,937.5701141,365.9263945,-0.025011906,935.8665466,346.965344,-0.028721252,966.3174438,429.9848843,-0.012483971,979.1767883,391.5562963,-0.016533129,985.2559662,366.8298054,-0.020353667,991.0774994,347.374413,-0.023601333,983.0917358,438.8796902,-0.012427933,997.3432159,405.5157566,-0.018096922,1003.750763,382.9909945,-0.022735728,1009.004211,364.2022705,-0.026144249,993.7322235,451.2270355,-0.013139077,1012.363586,432.7606487,-0.018850654,1022.757645,420.6534576,-0.021326575,1031.584625,409.5967913,-0.022862332
357.0611191,520.5001688,1.73e-07,394.2069626,502.81394,-0.010317797,416.5434647,467.5494576,-0.0148894,425.1796722,435.4838419,-0.017332831,436.1994553,414.2543077,-0.019086791,375.3362274,439.4917917,-0.015078387,380.6297684,397.1686792,-0.021513663,388.1139755,375.2394962,-0.024770653,394.7880554,364.2824793,-0.02574995,348.8201523,436.6382217,-0.011425114,348.0226898,388.9809895,-0.01664022,358.0456161,367.7261353,-0.018200608,368.2600403,359.3479872,-0.018423092,331.2410355,437.5251532,-0.008106903,328.6821747,393.1430054,-0.012065594,339.9317551,374.4957304,-0.012739072,351.7072296,366.2937069,-0.012483166,321.6361618,440.4672575,-0.005469767,320.943222,404.2515135,-0.008102902,328.6413574,386.5906048,-0.007728379,337.5769424,377.3860788,-0.006551765,950.5118561,511.5833902,1.98e-07,915.9043121,489.9029875,-0.011878452,895.5364227,458.9520121,-0.018574657,882.0526123,431.5409088,-0.023271462,865.6296539,413.9809799,-0.02785746,940.6996155,425.6312084,-0.01384405,939.2790985,389.4529295,-0.020102693,937.9689026,366.1813974,-0.025227517,936.9129944,347.5451946,-0.029013852,965.2558899,428.9771461,-0.012778037,977.7988434,391.435833,-0.017332556,984.3675232,366.4439106,-0.021640828,990.4612732,346.5682054,-0.025191145,982.3113251,438.4048319,-0.012748605,996.0668182,405.6318426,-0.019078631,1002.559891,383.2306767,-0.024303621,1007.7565,364.4589472,-0.028014565,993.4011078,451.2460041,-0.013429319,1011.449127,432.0050383,-0.019935489,1021.835709,419.4180965,-0.022950679,1030.742416,407.7631044,-0.024785923
334.9926376,517.6706743,1.54e-07,369.9614334,497.3745489,-0.012121775,387.4887848,460.315218,-0.015427166,387.2188568,426.9133043,-0.015537447,385.3000641,404.9338675,-0.014047747,341.1998367,443.2710457,-0.017005807,339.7865295,395.480175,-0.021195883,346.2414932,374.7194052,-0.021281937,353.3529282,366.3777351,-0.019756399,318.8719749,445.396986,-0.010796418,316.4939117,396.9583082,-0.014388611,325.3458023,375.4716253,-0.013822502,335.7175064,365.9477234,-0.01248293,307.5353813,447.6740313,-0.004876645,307.7602577,403.6999655,-0.007494964,318.1601715,384.767561,-0.007220381,329.0082169,374.7200918,-0.006304942,304.4757843,449.3453264,0.000227006,306.7896461,412.9811811,-0.001219276,314.7888756,394.6520376,-0.000694736,323.4650421,383.8664675,0.000484351,950.6868744,511.3105774,1.98e-07,916.0255432,490.0007915,-0.011528741,896.035614,459.2988968,-0.018032193,883.4946442,432.1159744,-0.022651462,867.5635529,414.8440504,-0.027169978,940.9187317,426.5635014,-0.01362354,939.2092896,390.6304407,-0.020064846,937.7000427,367.1839857,-0.025266163,936.4456177,348.4650636,-0.029059146,965.4349518,429.5101547,-0.012840974,978.0384827,391.9262266,-0.017571231,984.6308136,366.7707539,-0.021960961,990.7061768,346.7229581,-0.025506584,982.5982666,438.4637976,-0.013073556,996.4707947,405.3765392,-0.019483099,1002.883453,383.1004286,-0.024582637,1008.113022,364.4746971,-0.028142482,993.5860443,450.9774399,-0.014009963,1011.741257,431.6651917,-0.020494489,1022.152557,419.0459347,-0.023367919,1031.058807,407.4577618,-0.025050471
326.0367584,521.0403013,1.63e-07,359.7940445,494.1762829,-0.010848953,373.4371567,456.6827774,-0.013917568,372.4746704,424.4298792,-0.014148338,369.1761017,406.1106062,-0.013477253,330.663147,445.0899696,-0.015759014,321.6811371,402.1619225,-0.019736841,321.5343857,379.3040514,-0.021167073,323.6913681,363.7911844,-0.021352652,306.8361473,449.5151854,-0.010871669,295.7115364,405.0968599,-0.014264425,298.5476494,382.0130825,-0.014480339,304.2209053,367.3257351,-0.014265366,292.4233627,454.8148012,-0.006161705,286.7019653,414.6274567,-0.008422764,293.7822342,398.087883,-0.007765018,301.8567848,389.17943,-0.006893023,286.0617256,459.5978022,-0.002339631,284.5922279,427.5168657,-0.003380695,289.9274063,411.174531,-0.0023592,296.3148499,401.5414095,-0.001120253,950.6628418,510.640583,1.96e-07,915.6840515,489.5373058,-0.011450915,895.410614,458.6891127,-0.017830925,882.6739502,431.1950111,-0.022300843,866.599884,413.9656591,-0.026645672,940.3311157,425.5204868,-0.013359773,939.2897797,389.3148279,-0.019286769,938.4644318,366.0489178,-0.024165684,937.7715302,347.5848055,-0.027731188,964.9324799,428.7640715,-0.01234843,977.6869202,391.1136246,-0.016388454,984.478302,366.1406708,-0.020471528,990.6832886,346.3931322,-0.023834189,982.4073029,437.9625893,-0.012319347,996.0044098,405.3719044,-0.017882042,1002.299805,383.2990837,-0.022823818,1007.239838,364.9939299,-0.026380915,994.0660858,450.4513836,-0.013013618,1011.607819,431.3682175,-0.01864747,1021.463165,418.934269,-0.0212874,1029.906082,407.6474476,-0.022901438
950.651474,509.7158003,2.01e-07,915.1898956,488.9337444,-0.011823492,894.7070313,458.1879902,-0.018470509,881.9365692,431.1568594,-0.023136435,865.8670807,414.0703726,-0.027706472,940.537262,424.2455578,-0.01375541,939.2623901,388.9046431,-0.019862318,938.5896301,365.9931278,-0.02492512,937.8977966,347.7042818,-0.028618114,965.1101685,428.0729198,-0.012660394,978.0104065,390.9018373,-0.016918654,985.1057434,365.9081125,-0.02118185,991.624527,345.9072018,-0.02464303,982.3706055,437.7697277,-0.012577041,995.477829,405.0807238,-0.018393794,1001.816711,383.0763531,-0.023520732,1006.792221,364.452467,-0.027172033,993.8404846,450.5717611,-0.01322828,1010.896378,431.4555073,-0.019153399,1020.720291,419.0525007,-0.021913704,1029.167862,407.4730825,-0.023565467,310.3084183,522.4408865,1.49e-07,344.1134644,493.730135,-0.008756335,360.5867004,455.8206511,-0.013112287,366.0150909,425.0168753,-0.01538116,369.9963379,404.5552683,-0.017384872,316.0282135,438.0376053,-0.018905109,303.7312317,394.2227983,-0.02498409,295.4938507,369.6842337,-0.027680149,289.4389534,352.7757812,-0.028931554,289.0653419,445.2007771,-0.016876793,271.1528397,399.1547155,-0.02338066,264.3855667,372.0909262,-0.025819255,259.8902893,353.0985689,-0.02698615,270.4267883,453.4729671,-0.014471021,253.60466,412.1611977,-0.01952016,251.3097382,389.1509771,-0.020790471,251.6692734,373.2717848,-0.021008233,259.4731712,461.7708206,-0.012529348,248.300209,428.1271219,-0.015952246,247.7386475,409.1902971,-0.0157221,250.3589249,395.8754253,-0.014689228
303.7375832,524.0708542,1.6e-07,336.1519623,494.9002218,-0.007417295,352.8571701,458.5016155,-0.011851702,361.4104843,429.81112,-0.015006821,368.747406,411.4809895,-0.018106615,304.1278267,436.3912868,-0.015317448,293.5490227,397.5106287,-0.021640435,287.1418381,373.5572147,-0.025034439,282.3143196,355.3400803,-0.027156685,278.0108261,444.7914076,-0.014890483,256.6715813,403.8317585,-0.022701157,246.6818428,378.5720015,-0.026309233,238.6197281,359.3704534,-0.028169628,259.7787666,455.1907825,-0.014295615,238.946743,417.8623724,-0.020677371,230.3100967,393.6205673,-0.023354573,224.3141937,374.6648598,-0.024294648,249.3641472,466.2681341,-0.014073521,232.2021866,436.4020157,-0.018357584,225.3069687,416.8745899,-0.019177863,222.3661423,401.4624453,-0.018880267,949.8922729,509.4483948,1.93e-07,915.0041199,488.9197969,-0.011507535,894.957962,458.4614468,-0.018109489,882.5280762,431.2934589,-0.022768773,866.340332,414.2322493,-0.027340548,940.9902191,424.4626665,-0.013713605,939.7438812,388.4770775,-0.019784903,938.7922668,365.1697969,-0.024790581,937.8790283,346.8234444,-0.028425263,965.2963257,428.0654955,-0.012718808,978.0554962,390.5043983,-0.016772881,984.9506378,365.4585314,-0.020871641,991.2966156,345.7124734,-0.02424204,982.5169373,437.5036097,-0.012688659,995.783844,404.6205854,-0.018089244,1001.8573,382.6511908,-0.022929728,1006.648788,364.2731237,-0.026479058,994.1133118,450.278306,-0.013399061,1011.258316,431.3841391,-0.018956997,1020.887527,418.9389467,-0.021517003,1029.124985,407.4705505,-0.023069665
297.6490593,525.7897425,1.83e-07,328.9704132,497.5852633,-0.00860482,345.2404404,463.2777929,-0.014127669,355.3731537,435.8562183,-0.01866138,367.1077728,417.6609707,-0.023406731,297.0987701,437.982502,-0.014821745,289.7366524,400.0510025,-0.022182178,285.9718513,375.9532213,-0.027214762,284.1000748,357.3626375,-0.030688586,270.7741928,445.3544569,-0.014710047,251.6548538,406.4329863,-0.022390518,243.0030823,380.5364084,-0.027275821,236.9637871,360.5450249,-0.030569559,252.7768707,456.8410921,-0.014788374,232.5309944,420.7319927,-0.02171888,223.4615326,396.8355703,-0.026006831,217.9062653,377.7716303,-0.02858223,243.1349373,470.5071831,-0.015345954,224.3432617,445.4117489,-0.021353016,215.1860428,428.5600948,-0.02364693,210.103035,415.1521397,-0.024500707,949.7024536,510.1870108,1.86e-07,915.1530457,489.2446232,-0.011449781,895.1945496,458.5192537,-0.018018866,882.8560638,431.1427402,-0.022724548,866.4199829,414.1069365,-0.027365675,941.075058,424.9667072,-0.013476416,939.3846893,389.3142271,-0.019869139,938.2422638,366.2424231,-0.025245629,937.2750092,347.7099037,-0.029178506,965.207901,428.4471416,-0.012715884,977.4300385,390.9405899,-0.01713758,983.8301849,365.9020615,-0.021505525,989.7134399,345.9596658,-0.025072601,982.383194,437.9658079,-0.012981996,995.5292511,405.3420353,-0.018768527,1001.737137,383.1933832,-0.023683384,1006.540604,364.5537901,-0.02723423,993.947525,451.0131884,-0.014009442,1011.113052,431.93367,-0.019832367,1020.735397,419.0811253,-0.022495661,1028.950195,407.1619892,-0.024130808
279.658947,525.4488659,1.91e-07,311.635704,499.1793537,-0.008648943,328.589592,465.5086184,-0.013551119,341.3129044,438.0614233,-0.017401183,358.2982635,421.7533779,-0.021163963,278.6385345,436.4958286,-0.011417571,277.236805,402.3511362,-0.016471699,277.8235435,383.5011292,-0.020125832,279.8264503,370.7862568,-0.022796342,252.3159599,443.8251257,-0.010622973,235.082531,407.4743271,-0.015567708,229.1345024,384.7529268,-0.018720783,226.0454559,368.3996487,-0.021022698,234.8539352,456.0923481,-0.010308766,215.9176636,423.2329273,-0.015640691,208.2493019,403.1428814,-0.019532718,203.8679123,386.7154884,-0.022067543,225.7491112,470.5368805,-0.01048373,207.2339058,450.3733635,-0.015564202,198.023262,437.2849131,-0.017665578,192.5402451,425.9451771,-0.018573904,950.9567261,509.0454626,1.93e-07,915.8932495,489.3339729,-0.011492015,895.5673218,459.2743063,-0.018187882,883.2904816,431.7352724,-0.022926526,867.1650696,414.464035,-0.027580017,941.174469,425.5690241,-0.014247916,940.2922821,389.4694948,-0.020399285,939.2881012,366.4518499,-0.025332231,938.4926605,348.4354734,-0.028891878,965.6572723,428.557477,-0.013320979,978.2048798,390.7569981,-0.017491225,984.9999237,365.8769989,-0.021602353,991.4922333,346.4037967,-0.024988793,983.0937958,437.5952339,-0.013293707,996.469574,404.7733641,-0.018721137,1002.618332,382.9933119,-0.023552449,1007.700958,365.0343132,-0.027126897,994.7595215,450.1159573,-0.013987665,1011.850815,431.2633324,-0.019596452,1021.572189,418.7632084,-0.022182824,1029.957657,407.4669456,-0.023757694
